hour, canon, id, Borda Pts, Borda pts norm, Borda Proportion, Borda Sum, Canon weight(aggregated votes for this canon)
18, equality ,6b9a569a-ec51-4a63-bfac-5e196d0e5824,3,0.592105263,0.197368421,15,76
18, equality ,dd98f973-3eaf-45ab-a149-f45c7d162d22,3,0.592105263,0.197368421,15,76
18, equality ,eea2a064-62c7-4b4c-a07d-58b5a5b1000f,2,0.394736842,0.197368421,15,76
18, equality ,e103972b-8c66-47b6-9c38-8219003f1e16,2,0.394736842,0.197368421,15,76
18, equality ,b72cd33d-1e34-441f-af01-d2235c52858e,1,0.197368421,0.197368421,15,76
18, equality ,3592667e-3aef-479e-bf78-226437a2ef06,1,0.197368421,0.197368421,15,76
18, needs ,b72cd33d-1e34-441f-af01-d2235c52858e,5,0.986842105,0.197368421,15,76
18, needs ,7fa9c3d9-6ac0-4e3d-af49-19fcb2cd9154,5,0.986842105,0.197368421,15,76
18, needs ,3592667e-3aef-479e-bf78-226437a2ef06,4,0.789473684,0.197368421,15,76
18, needs ,dd98f973-3eaf-45ab-a149-f45c7d162d22,4,0.789473684,0.197368421,15,76
18, needs ,e103972b-8c66-47b6-9c38-8219003f1e16,3,0.592105263,0.197368421,15,76
18, needs ,eea2a064-62c7-4b4c-a07d-58b5a5b1000f,3,0.592105263,0.197368421,15,76
18, needs ,f0495904-0e2b-4fd9-a5e8-8ee92ba0c87c,2,0.394736842,0.197368421,15,76
18, needs ,1a592839-d0c7-4ffe-8faf-f1fa3b8c626e,2,0.394736842,0.197368421,15,76
18, needs ,2836b64b-1cba-48df-a7e8-93cf1f128248,1,0.197368421,0.197368421,15,76
18, needs ,6b9a569a-ec51-4a63-bfac-5e196d0e5824,1,0.197368421,0.197368421,15,76
19, equality ,1a592839-d0c7-4ffe-8faf-f1fa3b8c626e,5,0.986842105,0.197368421,15,76
19, equality ,6b9a569a-ec51-4a63-bfac-5e196d0e5824,4,0.789473684,0.197368421,15,76
19, equality ,c8f34861-6aa9-46ef-b990-99c4b2390c28,5,0.986842105,0.197368421,15,76
19, equality ,2836b64b-1cba-48df-a7e8-93cf1f128248,5,0.986842105,0.197368421,15,76
19, equality ,c77ff30d-1e76-40ec-b230-1a9162e3fab1,5,0.986842105,0.197368421,15,76
19, equality ,f0495904-0e2b-4fd9-a5e8-8ee92ba0c87c,4,0.789473684,0.197368421,15,76
19, equality ,91904946-01af-4240-9ffa-dde8a28fdfe2,4,0.789473684,0.197368421,15,76
19, equality ,7fa9c3d9-6ac0-4e3d-af49-19fcb2cd9154,3,0.592105263,0.197368421,15,76
19, equality ,71bd3da0-190a-4e0d-9f1c-b41c7d98f7bb,4,0.789473684,0.197368421,15,76
19, equality ,11a8a9d3-7814-4e66-b207-ccf40d0a4c38,3,0.592105263,0.197368421,15,76
19, equality ,8add56af-2a5b-4c88-b8d0-5cd93c6943dd,3,0.592105263,0.197368421,15,76
19, equality ,dd98f973-3eaf-45ab-a149-f45c7d162d22,3,0.592105263,0.197368421,15,76
19, equality ,e103972b-8c66-47b6-9c38-8219003f1e16,2,0.394736842,0.197368421,15,76
19, equality ,eea2a064-62c7-4b4c-a07d-58b5a5b1000f,2,0.394736842,0.197368421,15,76
19, equality ,a03653c3-dcb9-4904-87d8-1ebd7011cbf5,2,0.394736842,0.197368421,15,76
19, equality ,0fd9da96-794a-4f26-9205-f103e52a3ea6,2,0.394736842,0.197368421,15,76
19, equality ,3592667e-3aef-479e-bf78-226437a2ef06,1,0.197368421,0.197368421,15,76
